Debit/Credit,Date,Description,Table Heading, Amount , Outstanding Balance ,,,In QB?,Date,Account
Credit,6/26/2018,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,40,"403,610.72",,0,,,
Debit,6/26/2018,Card Purchase 06/25 Zoom.US 888-799-9666 CA Card 0698,Atm & Debit Card Withdrawals,-59.87,"403,550.85",,0,,,
Debit,6/26/2018,06/26 Online Payment 7261234516 To Francesca Goldsmith,Electronic Withdrawals,-300,"403,250.85",,0,,,
Credit,6/27/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,40,"403,290.85",,0,,,
Debit,6/28/2018,Recurring Card Purchase 06/27 Eig*Constantcontact.CO 855-2295506 MA Card 0698,Atm & Debit Card Withdrawals,-70.77,"403,220.08",,0,,,
Credit,6/28/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,20,"403,240.08",,0,,,
Credit,6/29/2018,Bankcard-8566 Btot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,163.75,"403,403.83",,0,,,
Debit,6/29/2018,Recurring Card Purchase 06/28 Google *Google Storag 855-836-3987 CA Card 0698,Atm & Debit Card Withdrawals,-9.99,"403,393.84",,0,,,
Credit,7/2/2018,Bankcard-8566 Btot ADJ 518089424394518 CCD ID: 1592126793,Deposits And Additions,5.94,"403,399.78",,0,,,
Debit,7/2/2018,Bankcard-8566 Mtot Disc 518089424394518 CCD ID: 1592126793,Electronic Withdrawals,-200.9,"403,198.88",,0,,,
Debit,7/2/2018,Card Purchase 07/01 Linode.Com 855-4546633 NJ Card 0698,Atm & Debit Card Withdrawals,-35,"403,163.88",,0,,,
Credit,7/3/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,20,"403,183.88",,0,,,
Credit,7/3/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,185,"403,368.88",,0,,,
Debit,7/3/2018,Bankcard-8566 Btot ADJ 518089424394518 CCD ID: 1592126793,Electronic Withdrawals,-11.88,"403,357.00",,0,,,
Debit,7/5/2018,"Bluepay,Inc. 8667398324 100585425005 CCD ID: 0000000380",Electronic Withdrawals,-39.95,"403,317.05",,0,,,
Debit,7/5/2018,Service Charges For The Month of June,Fees,-34.95,"403,282.10",,0,,,
Credit,7/5/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,222.5,"403,504.60",,0,,,
Credit,7/5/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,40,"403,544.60",,0,,,
Debit,7/9/2018,Card Purchase With Pin 07/09 Usps PO 23783006 5691 Rock Hall MD Card 0698,Atm & Debit Card Withdrawals,-26.44,"403,518.16",,0,,,
Credit,7/9/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,123.75,"403,641.91",,0,,,
Credit,7/9/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,205,"403,846.91",,0,,,
Debit,7/10/2018,07/10 Online Payment 7303432901 To Audiofile,Electronic Withdrawals,"-7,990.00","395,856.91",,0,,,
Credit,7/11/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,247.5,"396,104.41",,0,,,
Debit,7/11/2018,Recurring Card Purchase 07/10 Fedex 387394185 800-4633339 TN Card 0698,Atm & Debit Card Withdrawals,-35.1,"396,069.31",,0,,,
Credit,7/12/2018,ATM Check Deposit 07/12 345 Hudson St New York NY Card 0698,Deposits And Additions,900,"396,969.31",,0,,,
Debit,7/12/2018,Card Purchase 07/11 Nyctaxi7L36 Manhasset NY Card 0698,Atm & Debit Card Withdrawals,-9.75,"396,959.56",,0,,,
Credit,7/12/2018,ATM Cash Deposit 07/12 345 Hudson St New York NY Card 0698,Deposits And Additions,40,"396,999.56",,0,,,
Debit,7/12/2018,Card Purchase 07/10 Taxi Svc Woodside Woodside NY Card 0698,Atm & Debit Card Withdrawals,-8.19,"396,991.37",,0,,,
Debit,7/12/2018,Card Purchase 07/10 Nyctaxi8N56 Long Island C NY Card 0698,Atm & Debit Card Withdrawals,-15.3,"396,976.07",,0,,,
Credit,7/13/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,185,"397,161.07",,0,,,
Debit,7/13/2018,Card Purchase 07/11 Nyctaxi3C88 Fresh Meadows NY Card 0698,Atm & Debit Card Withdrawals,-11.4,"397,149.67",,0,,,
Debit,7/16/2018,Recurring Card Purchase 07/13 Google *Google Storag 855-836-3987 CA Card 0698,Atm & Debit Card Withdrawals,-19.99,"397,129.68",,0,,,
Debit,7/16/2018,Recurring Card Purchase 07/13 Web*Networksolutions 888-6429675 FL Card 0698,Atm & Debit Card Withdrawals,-75.98,"397,053.70",,0,,,
Credit,7/16/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,300,"397,353.70",,0,,,
Debit,7/16/2018,Recurring Card Purchase 07/15 Smk*Surveymonkey.Com 971-2445555 CA Card 0698,Atm & Debit Card Withdrawals,-29,"397,324.70",,0,,,
Debit,7/16/2018,Card Purchase 07/13 Usps Postage Stamps. 310-482-5800 CA Card 0698,Atm & Debit Card Withdrawals,-50,"397,274.70",,0,,,
Debit,7/16/2018,Recurring Card Purchase 07/14 Rackspace Email & App 210-312-4000 TX Card 0698,Atm & Debit Card Withdrawals,-10,"397,264.70",,0,,,
Debit,7/16/2018,Recurring Card Purchase 07/13 Vbs*Vonage Business 866-901-0242 GA Card 0698,Atm & Debit Card Withdrawals,-84.99,"397,179.71",,0,,,
Credit,7/18/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,865,"398,044.71",,0,,,
Credit,7/19/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"1,387.50","399,432.21",,0,,,
Debit,7/19/2018,Recurring Card Purchase 07/18 Fedex 388185936 800-4633339 TN Card 0698,Atm & Debit Card Withdrawals,-181.72,"399,250.49",,0,,,
Credit,7/20/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"1,100.00","400,350.49",,0,,,
Credit,7/23/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,400,"400,750.49",,0,,,
Credit,7/23/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,402.5,"401,152.99",,0,,,
Debit,7/24/2018,07/24 Online Payment 7338909319 To Suzanne Freeman,Electronic Withdrawals,-266.32,"400,886.67",,0,,,
Debit,7/24/2018,07/24 Online Payment 7339802063 To Bailey Duquette P.C.,Electronic Withdrawals,"-3,750.00","397,136.67",,0,,,
Debit,7/24/2018,"07/24 Online Payment 7338906640 To Graphic Executions, Inc.",Electronic Withdrawals,-194.89,"396,941.78",,0,,,
Debit,7/24/2018,Card Purchase 07/23 Www.Maxflatow.Com Www.Maxflatow NY Card 0698,Atm & Debit Card Withdrawals,-207.5,"396,734.28",,0,,,
Credit,7/24/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,330,"397,064.28",,0,,,
Debit,7/24/2018,"07/24 Online Payment 7339800824 To Management Practice, Inc.",Electronic Withdrawals,"-14,500.00","382,564.28",,0,,,
Debit,7/24/2018,"07/24 Online Payment 7338907466 To Janet Benson Consulting, Inc.",Electronic Withdrawals,-35.38,"382,528.90",,0,,,
Credit,7/25/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,502.5,"383,031.40",,0,,,
Debit,7/25/2018,Card Purchase 07/25 Greatamerican 800-847-4357 OH Card 0698,Atm & Debit Card Withdrawals,-917,"382,114.40",,0,,,
Debit,7/26/2018,Card Purchase 07/25 Zoom.US 888-799-9666 CA Card 0698,Atm & Debit Card Withdrawals,-59.87,"382,054.53",,0,,,
Credit,7/26/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,282.5,"382,337.03",,0,,,
Debit,7/27/2018,07/27 Online Payment 7261086747 To Over The River Public Relations,Electronic Withdrawals,"-3,000.00","379,337.03",,0,,,
Credit,7/27/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,882.5,"380,219.53",,0,,,
Credit,7/30/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,400,"380,619.53",,0,,,
Debit,7/30/2018,07/29 Online Transfer To Chk ...7365 Transaction#: 7353955330,Electronic Withdrawals,"-6,675.00","373,944.53",,0,,,
Credit,7/30/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,905,"374,849.53",,0,,,
Debit,7/30/2018,Recurring Card Purchase 07/28 Eig*Constantcontact.CO 855-2295506 MA Card 0698,Atm & Debit Card Withdrawals,-70.77,"374,778.76",,0,,,
Credit,7/30/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,600,"375,378.76",,0,,,
Credit,8/1/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"1,022.50","376,401.26",,0,,,
Debit,8/2/2018,Bankcard-8566 Mtot Disc 518089424394518 CCD ID: 1592126793,Electronic Withdrawals,-442.64,"375,958.62",,0,,,
Debit,8/2/2018,Card Purchase 08/01 Linode.Com 855-4546633 NJ Card 0698,Atm & Debit Card Withdrawals,-48.2,"375,910.42",,0,,,
Credit,8/2/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"1,002.50","376,912.92",,0,,,
Debit,8/3/2018,Service Charges For The Month of July,Fees,-34.95,"376,877.97",,0,,,
Credit,8/3/2018,Fedwire Credit Via: The Bank of New York Mellon/021000018 B/O: Rakuten Kobo Inc,Deposits And Additions,"1,500.00","378,377.97",,0,,,
Debit,8/3/2018,"Bluepay,Inc. 8667398324 100597735339 CCD ID: 0000000380",Electronic Withdrawals,-39.95,"378,338.02",,0,,,
Credit,8/3/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"2,715.00","381,053.02",,0,,,
Credit,8/6/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,100,"381,153.02",,0,,,
Credit,8/6/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,82.5,"381,235.52",,0,,,
Debit,8/6/2018,Card Purchase 08/04 Intuit *Quickbooks 800-446-8848 CA Card 0698,Atm & Debit Card Withdrawals,-239.47,"380,996.05",,0,,,
Credit,8/6/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"1,582.50","382,578.55",,0,,,
Credit,8/7/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"1,000.00","383,578.55",,0,,,
Credit,8/8/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"1,467.50","385,046.05",,0,,,
Credit,8/9/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"15,852.50","400,898.55",,0,,,
Credit,8/10/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"45,882.50","446,781.05",,0,,,
Credit,8/13/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,100,"446,881.05",,0,,,
Debit,8/13/2018,Recurring Card Purchase 08/13 Stamps.Com 855-608-2677 CA Card 0698,Atm & Debit Card Withdrawals,-15.99,"446,865.06",,0,,,
Credit,8/13/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,"2,140.00","449,005.06",,0,,,
Credit,8/13/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,40,"449,045.06",,0,,,
Debit,8/14/2018,Recurring Card Purchase 08/14 Rackspace Email & App 210-312-4000 TX Card 0698,Atm & Debit Card Withdrawals,-10,"449,035.06",,0,,,
Credit,8/14/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,162.5,"449,197.56",,0,,,
Debit,8/14/2018,Recurring Card Purchase 08/13 Google *Google Storag 855-836-3987 CA Card 0698,Atm & Debit Card Withdrawals,-19.99,"449,177.57",,0,,,
Debit,8/14/2018,Recurring Card Purchase 08/13 Vbs*Vonage Business 866-901-0242 GA Card 0698,Atm & Debit Card Withdrawals,-84.99,"449,092.58",,0,,,
Credit,8/15/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,962.5,"450,055.08",,0,,,
Debit,8/16/2018,Recurring Card Purchase 08/15 Smk*Surveymonkey.Com 971-2445555 CA Card 0698,Atm & Debit Card Withdrawals,-29,"450,026.08",,0,,,
Credit,8/16/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,60,"450,086.08",,0,,,
Credit,8/17/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,520,"450,606.08",,0,,,
Credit,8/20/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,60,"450,666.08",,0,,,
Credit,8/20/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,143.75,"450,809.83",,0,,,
Debit,8/21/2018,"Quickpay With Zelle Payment To Janet Benson, Inc. 7420425644",Electronic Withdrawals,-27.64,"450,782.19",,0,,,
Credit,8/21/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,82.5,"450,864.69",,0,,,
Credit,8/22/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,572.5,"451,437.19",,0,,,
Credit,8/23/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,600,"452,037.19",,0,,,
Debit,8/24/2018,08/24 Online Payment 7346772260 To Over The River Public Relations,Electronic Withdrawals,"-3,000.00","449,037.19",,0,,,
Credit,8/24/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,20,"449,057.19",,0,,,
Debit,8/27/2018,Card Purchase 08/25 Zoom.US 888-799-9666 CA Card 0698,Atm & Debit Card Withdrawals,-59.87,"448,997.32",,0,,,
Credit,8/27/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,82.5,"449,079.82",,0,,,
Credit,8/27/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,832.5,"449,912.32",,0,,,
Debit,8/27/2018,Recurring Card Purchase 08/25 Fedex 391854669 800-4633339 TN Card 0698,Atm & Debit Card Withdrawals,-220.9,"449,691.42",,0,,,
Credit,8/27/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,592.5,"450,283.92",,0,,,
Credit,8/29/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,150,"450,433.92",,0,,,
Debit,8/29/2018,Recurring Card Purchase 08/28 Eig*Constantcontact.CO 855-2295506 MA Card 0698,Atm & Debit Card Withdrawals,-70.77,"450,363.15",,0,,,
Credit,8/30/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,40,"450,403.15",,0,,,
Debit,8/31/2018,08/31 Online Payment 7445450456 To The Refinery,Electronic Withdrawals,-718.75,"449,684.40",,0,,,
Debit,8/31/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Electronic Withdrawals,-480,"449,204.40",,0,,,
Debit,8/31/2018,08/31 Online ACH Payment 5203737514 To Michele Cobb (_######6800),Electronic Withdrawals,"-8,827.80","440,376.60",,0,,,
Debit,9/4/2018,Bankcard-8566 Mtot Disc 518089424394518 CCD ID: 1592126793,Electronic Withdrawals,"-3,423.52","436,953.08",,0,,,
Debit,9/4/2018,Card Purchase 09/01 Linode.Com 855-4546633 NJ Card 0698,Atm & Debit Card Withdrawals,-55,"436,898.08",,0,,,
Credit,9/4/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,632.5,"437,530.58",,0,,,
Credit,9/5/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,205,"437,735.58",,0,,,
Debit,9/6/2018,"Bluepay,Inc. 8667398324 100612038723 CCD ID: 0000000380",Electronic Withdrawals,-39.95,"437,695.63",,0,,,
Credit,9/6/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,20,"437,715.63",,0,,,
Debit,9/6/2018,Service Charges For The Month of August,Fees,-34.95,"437,680.68",,0,,,
Credit,9/7/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,572.5,"438,253.18",,0,,,
Credit,9/10/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,232.5,"438,485.68",,0,,,
Credit,9/11/2018,Remote Online Deposit 1,Deposits And Additions,"6,400.00","444,885.68",,0,,,
Credit,9/11/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,200,"445,085.68",,0,,,
Credit,9/11/2018,Remote Online Deposit 1,Deposits And Additions,"3,100.00","448,185.68",,0,,,
Credit,9/11/2018,Remote Online Deposit 1,Deposits And Additions,"1,000.00","449,185.68",,0,,,
Credit,9/11/2018,Remote Online Deposit 1,Deposits And Additions,"5,800.00","454,985.68",,0,,,
Credit,9/11/2018,Remote Online Deposit 1,Deposits And Additions,"2,450.00","457,435.68",,0,,,
Credit,9/12/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,460,"457,895.68",,0,,,
Debit,9/13/2018,Recurring Card Purchase 09/13 Stamps.Com 855-608-2677 CA Card 0698,Atm & Debit Card Withdrawals,-15.99,"457,879.69",,0,,,
Credit,9/13/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,820,"458,699.69",,0,,,
Debit,9/14/2018,Recurring Card Purchase 09/13 Vbs*Vonage Business 866-901-0242 GA Card 0698,Atm & Debit Card Withdrawals,-84.99,"458,614.70",,0,,,
Debit,9/14/2018,Recurring Card Purchase 09/14 Rackspace Email & App 210-312-4000 TX Card 0698,Atm & Debit Card Withdrawals,-10,"458,604.70",,0,,,
Debit,9/14/2018,09/14 Online Transfer To Chk ...7365 Transaction#: 7490488264,Electronic Withdrawals,"-6,675.00","451,929.70",,0,,,
Credit,9/14/2018,Bankcard-8566 Mtot Dep 518089424394518 CCD ID: 1592126793,Deposits And Additions,252.5,"452,182.20",,0,,,
Debit,9/17/2018,Recurring Card Purchase 09/15 Smk*Surveymonkey.Com 971-2445555 CA Card 0698,Atm & Debit Card Withdrawals,-29,"452,153.20",,0,,,
